Package,Rate Model,Bank,MSRP,Invoice,Formula,Buying,Default Rebates,Nondefault Rebates,Rate Style,MF 12,RP 12,Live 12,MF 24,RP 24,Live 24,MF 27,RP 27,Live 27,MF 30,RP 30,Live 30,MF 33,RP 33,Live 33,MF 36,RP 36,Live 36,MF 39,RP 39,Live 39,MF 42,RP 42,Live 42,MF 48,RP 48,Live 48,Package Id,Bank Id
2024 Acura ZDX AWD SUV,ZDX AWD,American Honda Finance (Acura),70450,69208,0.982370476,0,,,3B2H4REW 4dr Wgn A-Spec,,,,0.0012,48,TRUE,0.0012,47,TRUE,0.0012,45,TRUE,0.0012,43,TRUE,0.0012,41,TRUE,0.0028,39,TRUE,0.00295,36,TRUE,0.00295,31,TRUE,70563,3
2024 Acura ZDX AWD SUV,ZDX AWD,American Honda Finance (Acura),75450,73970,0.980384361,0,,,3B2H6REW 4dr Wgn Type S,,,,0.0012,47,TRUE,0.0012,46,TRUE,0.0012,44,TRUE,0.0012,42,TRUE,0.0012,40,TRUE,0.0028,38,TRUE,0.00295,35,TRUE,0.00295,30,TRUE,70564,3
2024 Acura Integra Hatchback,Integra,American Honda Finance (Acura),37695,36241,0.961427245,-600,,,DE4G7RJW 5dr HB A-Spec Tech Package MT,,,,0.0038,58,TRUE,0.0038,57,TRUE,0.0038,55,TRUE,0.0028,53,TRUE,0.0028,51,TRUE,0.0028,49,TRUE,0.00295,46,TRUE,0.00295,41,TRUE,59914,3
2024 Acura Integra Hatchback,Integra,Cal Automotive,37695,36241,0.961427245,-600,,,DE4G7RJW 5dr HB A-Spec Tech Package MT,,,,,,,,,,,,,,,,0.0032,72,FALSE,0.0032,72,FALSE,,,,,,,59914,48
2025 Acura Integra Hatchback,Integra,American Honda Finance (Acura),39195,37689,0.961576732,0,,,DE4G7SJW 5dr HB A-Spec Tech Package MT,,,,0.0018,62,TRUE,0.0018,61,TRUE,0.0018,59,TRUE,0.0018,57,TRUE,0.0018,55,TRUE,0.0018,53,TRUE,0.0018,51,TRUE,0.0018,47,TRUE,72036,3
2024 Acura Integra Hatchback,Integra,American Honda Finance (Acura),32695,31907,0.975898455,-200,,,DE4H2RJW 5dr HB AT,,,,0.0038,60,TRUE,0.0038,59,TRUE,0.0038,57,TRUE,0.0028,55,TRUE,0.0028,53,TRUE,0.0028,51,TRUE,0.00295,48,TRUE,0.00295,43,TRUE,59911,3
2024 Acura Integra Hatchback,Integra,Cal Automotive,32695,31907,0.975898455,-200,,,DE4H2RJW 5dr HB AT,,,,,,,,,,,,,,,,0.0032,74,FALSE,0.0032,74,FALSE,,,,,,,59911,48
2024 Acura Integra Hatchback,Integra,American Honda Finance (Acura),33295,32507,0.976332783,-200,,,DE4H2RJW 5dr HB AT,,,,0.0038,60,TRUE,0.0038,59,TRUE,0.0038,57,TRUE,0.0028,55,TRUE,0.0028,53,TRUE,0.0028,51,TRUE,0.00295,48,TRUE,0.00295,43,TRUE,59912,3
2024 Acura Integra Hatchback,Integra,Cal Automotive,33295,32507,0.976332783,-200,,,DE4H2RJW 5dr HB AT,,,,,,,,,,,,,,,,0.0032,74,FALSE,0.0032,74,FALSE,,,,,,,59912,48
2025 Acura Integra Hatchback,Integra,American Honda Finance (Acura),34195,33377,0.976078374,0,,,DE4H2SJW 5dr HB AT,,,,0.0018,63,TRUE,0.0018,62,TRUE,0.0018,60,TRUE,0.0018,58,TRUE,0.0018,56,TRUE,0.0018,54,TRUE,0.0018,52,TRUE,0.0018,48,TRUE,72033,3
2024 Acura Integra Hatchback,Integra,American Honda Finance (Acura),34695,33366,0.961694769,-200,,,DE4H3RJW 5dr HB A-Spec Package AT,,,,0.0038,58,TRUE,0.0038,57,TRUE,0.0038,55,TRUE,0.0028,53,TRUE,0.0028,51,TRUE,0.0028,49,TRUE,0.00295,46,TRUE,0.00295,41,TRUE,59913,3
2024 Acura Integra Hatchback,Integra,Cal Automotive,34695,33366,0.961694769,-200,,,DE4H3RJW 5dr HB A-Spec Package AT,,,,,,,,,,,,,,,,0.0032,72,FALSE,0.0032,72,FALSE,,,,,,,59913,48
2025 Acura Integra Hatchback,Integra,American Honda Finance (Acura),36195,34864,0.963226965,0,,,DE4H3SJW 5dr HB A-Spec Package AT,,,,0.0018,62,TRUE,0.0018,61,TRUE,0.0018,59,TRUE,0.0018,57,TRUE,0.0018,55,TRUE,0.0018,53,TRUE,0.0018,51,TRUE,0.0018,47,TRUE,72032,3
2024 Acura Integra Hatchback,Integra,American Honda Finance (Acura),37695,36241,0.961427245,-600,,,DE4H6RJW 5dr HB A-Spec Tech Package AT,,,,0.0038,58,TRUE,0.0038,57,TRUE,0.0038,55,TRUE,0.0028,53,TRUE,0.0028,51,TRUE,0.0028,49,TRUE,0.00295,46,TRUE,0.00295,41,TRUE,59915,3
2024 Acura Integra Hatchback,Integra,Cal Automotive,37695,36241,0.961427245,-600,,,DE4H6RJW 5dr HB A-Spec Tech Package AT,,,,,,,,,,,,,,,,0.0032,72,FALSE,0.0032,72,FALSE,,,,,,,59915,48
2025 Acura Integra Hatchback,Integra,American Honda Finance (Acura),39195,37689,0.961576732,0,,,DE4H6SJW 5dr HB A-Spec Tech Package AT,,,,0.0018,62,TRUE,0.0018,61,TRUE,0.0018,59,TRUE,0.0018,57,TRUE,0.0018,55,TRUE,0.0018,53,TRUE,0.0018,51,TRUE,0.0018,47,TRUE,72034,3
2025 Acura Integra Hatchback,Integra,American Honda Finance (Acura),54695,52594,0.961586982,0,,,DE5G9SEW 5dr HB Type S MT,,,,0.0038,68,TRUE,0.0038,67,TRUE,0.0038,65,TRUE,0.0028,63,TRUE,0.0028,61,TRUE,0.0028,59,TRUE,0.00295,57,TRUE,0.00295,53,TRUE,78779,3
2024 Acura RDX AWD SUV,RDX AWD,American Honda Finance (Acura),45245,43853,0.96923417,-1800,,,TC2H3RJNW 4dr Wgn AWD,,,,0.0038,58,TRUE,0.0038,57,TRUE,0.0038,55,TRUE,0.0028,53,TRUE,0.0028,51,TRUE,0.0028,49,TRUE,0.00295,47,TRUE,0.00295,43,TRUE,65526,3
2024 Acura RDX AWD SUV,RDX AWD,Cal Automotive,45245,43853,0.96923417,-1800,,,TC2H3RJNW 4dr Wgn AWD,,,,,,,,,,,,,,,,0.0032,69,FALSE,0.0032,69,FALSE,,,,,,,65526,48
2024 Acura RDX AWD SUV,RDX AWD,American Honda Finance (Acura),45845,44715,0.975351729,-1800,,,TC2H3RJNW 4dr Wgn AWD,,,,0.0038,58,TRUE,0.0038,57,TRUE,0.0038,55,TRUE,0.0028,53,TRUE,0.0028,51,TRUE,0.0028,49,TRUE,0.00295,47,TRUE,0.00295,43,TRUE,65531,3
2024 Acura RDX AWD SUV,RDX AWD,Cal Automotive,45845,44715,0.975351729,-1800,,,TC2H3RJNW 4dr Wgn AWD,,,,,,,,,,,,,,,,0.0032,69,FALSE,0.0032,69,FALSE,,,,,,,65531,48
2025 Acura RDX AWD SUV,RDX AWD,American Honda Finance (Acura),46050,44917,0.975396308,-1000,,,TC2H4SJNW 4dr Wgn AWD,,,,0.00204,63,TRUE,0.00204,62,TRUE,0.00204,60,TRUE,0.00204,58,TRUE,0.00204,56,TRUE,0.00204,54,TRUE,0.00204,52,TRUE,0.00204,48,TRUE,76831,3
2024 Acura RDX AWD SUV,RDX AWD,American Honda Finance (Acura),47895,45670,0.953544211,-1800,,,TC2H5RKNW 4dr Wgn Tech AWD,,,,0.0038,56,TRUE,0.0038,55,TRUE,0.0038,53,TRUE,0.0028,51,TRUE,0.0028,49,TRUE,0.0028,47,TRUE,0.00295,45,TRUE,0.00295,41,TRUE,65527,3
2024 Acura RDX AWD SUV,RDX AWD,Cal Automotive,47895,45670,0.953544211,-1800,,,TC2H5RKNW 4dr Wgn Tech AWD,,,,,,,,,,,,,,,,0.0032,69,FALSE,0.0032,69,FALSE,,,,,,,65527,48
2024 Acura RDX AWD SUV,RDX AWD,American Honda Finance (Acura),48495,46225,0.953191051,-1800,,,TC2H5RKNW 4dr Wgn Tech AWD,,,,0.0038,56,TRUE,0.0038,55,TRUE,0.0038,53,TRUE,0.0028,51,TRUE,0.0028,49,TRUE,0.0028,47,TRUE,0.00295,45,TRUE,0.00295,41,TRUE,65532,3
2024 Acura RDX AWD SUV,RDX AWD,Cal Automotive,48495,46225,0.953191051,-1800,,,TC2H5RKNW 4dr Wgn Tech AWD,,,,,,,,,,,,,,,,0.0032,69,FALSE,0.0032,69,FALSE,,,,,,,65532,48
